potěr,fry [fraɪ]
přerušit,interrupt [ˌɪn.t̬əˈrʌpt]
slonová kost,ivory [ˈaɪ.vɚ.i]
kostel,kirk [kɝːk]
zdlouhavý,lengthy [ˈleŋ.θi]
Levy,levy [ˈlev.i]
manipulace,manipulation [məˌnɪp.jəˈleɪ.ʃən]
falešný,mock [mɑːk]
náhrdelník,necklace [ˈnek.ləs]
výklenek,niche [nɪtʃ]
obskurní,obscure [əbˈskjʊr]
Para,para [ˈper.ə]
veranda,porch [pɔːrtʃ]
zobrazit,portray [pɔːrˈtreɪ]
tvrzení,proposition [ˌprɑː.pəˈzɪʃ.ən]
recese,recession [rɪˈseʃ.ən]
okraj,rim [rɪm]
za druhé,secondly [ˈsek.ənd.li]
páteř,spinal [ˈspaɪ.nəl]
spirála,spiral [ˈspaɪr.əl]
plivat,spit [spɪt]
Splash,splash [splæʃ]
po sobě jdoucí,successive [səkˈses.ɪv]
Ti,ti [tiː]
včas,timely [ˈtaɪm.li]
vana,tub [tʌb]
vysokoškolák,undergraduate [ˌʌn.dɚˈɡrædʒ.u.ət]
uran,uranium [jʊˈreɪ.ni.əm]
pronést,utter [ˈʌ.t̬ɚ]
volejbal,volleyball [ˈvɑː.li.bɑːl]
inzerát,advertisement [ˌæd.vɚˈtaɪz.mənt]
atmosférický,atmospheric [ˌæt.məsˈfɪr.ɪk]
odpalování,batting [ˈbæt̬.ɪŋ]
konzola,bracket [ˈbræk.ɪt]
srdeční,cardiac [ˈkɑːr.di.æk]
velící,commanding [kəˈmæn.dɪŋ]
konfrontovat,confront [kənˈfrʌnt]
plíží se,creep [kriːp]
denní světlo,daylight [ˈdeɪ.laɪt]
zveřejnit,disclose [dɪˈskloʊz]
koleno,elbow [ˈel.boʊ]
nadšený,enthusiastic [ɪnˌθuː.ziˈæs.tɪk]
závidět,envy [ˈen.vi]
vyhnanství,exile [ˈek.saɪl]
vykořisťování,exploitation [ˌek.splɔɪˈteɪ.ʃən]
gel,gel [dʒel]
husa,goose [ɡuːs]
gril,grill [ɡrɪl]
hrdinný,heroic [hɪˈroʊ.ɪk]
chata,hut [hʌt]
chovanec,inmate [ˈɪn.meɪt]
poučit,instruct [ɪnˈstrʌkt]
Marina,marina [məˈriː.nə]
rohož,mat [mæt]
monopol,monopoly [məˈnɑː.pəl.i]
národně,nationally [ˈnæʃ.ən.əl.i]
rozhořčení,outrage [ˈaʊt.reɪdʒ]
okamžitě,promptly [ˈprɑːmpt.li]
obnova,renewal [rɪˈnuː.əl]
pravítko,ruler [ˈruː.lɚ]
upřímný,sincere [sɪnˈsɪr]
bruslení,skating [ˈskeɪ.t̬ɪŋ]
porážka,slaughter [ˈslɑː.t̬ɚ]
spermie,sperm [spɝːm]
rozlít,spill [spɪl]
stále,steadily [ˈsted.əl.i]
bažina,swamp [swɑːmp]
labuť,swan [swɑːn]
syntéza,synthesis [ˈsɪn.θə.sɪs]
tolerovat,tolerate [ˈtɑː.lə.reɪt]
cestovatel,traveler [ˈtræv.əl.ɚ]
zrada,treason [ˈtriː.zən]
Správce,trustee [ˌtrʌsˈtiː]
moč,urine [ˈjʊr.ɪn]
vanilka,vanilla [vəˈnɪl.ə]
fialový,violet [ˈvaɪə.lət]
aktivace,activation [ˌæk.təˈveɪ.ʃən]
poté,afterward [ˈæf.tɚ.wɚd]
přidělit,allocate [ˈæl.ə.keɪt]
potlesk,applause [əˈplɑːz]
plešatý,bald [bɑːld]
vařit,boil [bɔɪl]
čtvrť,borough [ˈbɝː.oʊ]
průlom,breakthrough [ˈbreɪk.θruː]
kužel,cone [koʊn]
sdělit,convey [kənˈveɪ]
kritika,critique [krɪˈtiːk]
rozklad,decay [dɪˈkeɪ]
deprese,depress [dɪˈpres]
dezert,dessert [dɪˈzɝːt]
diagnostický,diagnostic [ˌdaɪ.əɡˈnɑː.stɪk]
rozdíl,differential [ˌdɪf.əˈren.ʃəl]
diskurs,discourse [ˈdɪs.kɔːrs]
dominance,dominance [ˈdɑː.mə.nəns]
ekonomicky,economically [ˌiː.kəˈnɑː.mɪ.kəl.i]
využívat,exploit [ɪkˈsplɔɪt]
ohňostroj,firework [ˈfaɪr.wɝːk]
Freeman,freeman [ˈfriː.mən]
brána,gateway [ˈɡeɪt.weɪ]
vlhkost,humidity [hjuːˈmɪd.ə.t̬i]
humor,humour [ˈhjuː.mɚ]
Snímky,imagery [ˈɪm.ə.dʒər.i]
vlastní,inherent [ɪnˈhɪr.ənt]
vnitrozemí,inland [ˈɪn.lənd]
nevinnost,innocence [ˈɪn.ə.səns]
ostrůvek,isle [aɪl]
břečťan,ivy [ˈaɪ.vi]
zarovnání,justification [ˌdʒʌs.tə.fəˈkeɪ.ʃən]
hospodářská zvířata,livestock [ˈlaɪv.stɑːk]
veselý,merry [ˈmer.i]
misionář,missionary [ˈmɪʃ.er.i]
nacionalismus,nationalism [ˈnæʃ.ən.əl.ɪ.zəm]
Naughty,naughty [ˈnɑː.t̬i]
oznámit,notify [ˈnoʊ.t̬ə.faɪ]
notoricky známé,notorious [noʊˈtɔːr.i.əs]
poslouchat,obey [oʊˈbeɪ]
Organizační,organizational [ˌɔːr.ɡən.əˈzeɪ.ʃən.əl]
dohled,oversight [ˈoʊ.vɚ.saɪt]
panter,panther [ˈpæn.θɚ]
hlasování,polling [poʊl]
prototyp,prototype [ˈproʊ.t̬ə.taɪp]
dýně,pumpkin [ˈpʌmp.kɪn]
rampa,ramp [ræmp]
reaktor,reactor [riˈæk.tɚ]
útes,reef [riːf]
rafinovaný,refined [rɪˈfaɪnd]
zamítnutí,refusal [rɪˈfjuː.zəl]
posílit,reinforce [ˌriː.ɪnˈfɔːrs]
lék,remedy [ˈrem.ə.di]
resetovat,reset [ˌriːˈset]
šalvěj,sage [seɪdʒ]
oholení,shave [ʃeɪv]
nemoc,sickness [ˈsɪk.nəs]
statut,statute [ˈstætʃ.uːt]
přímý,straightforward [ˌstreɪtˈfɔːr.wɚd]
přemýšlivý,thoughtful [ˈθɑːt.fəl]
batole,toddler [ˈtɑːd.lɚ]
využít,utilize [ˈjuː.t̬əl.aɪz]
zlý,vicious [ˈvɪʃ.əs]
vodka,vodka [ˈvɑːd.kə]
zcela,wholly [ˈhoʊl.li]
Zoom,zoom [zuːm]
náhodné,accidental [ˌæk.səˈden.t̬əl]
arcibiskup,archbishop [ˌɑːrtʃˈbɪʃ.əp]
atentát,assassination [əˌsæs.əˈneɪ.ʃən]
bibliografie,bibliography [ˌbɪb.liˈɑː.ɡrə.fi]
Bot,bot [bɑːt]
široce,broadly [ˈbrɑːd.li]
vápník,calcium [ˈkæl.si.əm]
jistota,certainty [ˈsɝː.tən.ti]
citace,citation [saɪˈteɪ.ʃən]
společně,collectively [kəˈlek.tɪv.li]
komprese,compression [kəmˈpreʃ.ən]
přiznat,confess [kənˈfes]
omezit,confine [kənˈfaɪn]
kongregace,congregation [ˌkɑːŋ.ɡrəˈɡeɪ.ʃən]
krychle,cube [kjuːb]
dekorace,decoration [ˌdek.ərˈeɪ.ʃən]
dekret,decree [dɪˈkriː]
úmyslné,deliberate [dɪˈlɪb.ɚ.ət]
zoufalství,despair [dɪˈsper]
dividenda,dividend [ˈdɪv.ə.dend]
drift,drift [drɪft]
elektron,electron [ɪˈlek.trɑːn]
vydržet,endure [ɪnˈdʊr]
enzym,enzyme [ˈen.zaɪm]
evoluční,evolutionary [ˌiː.vəˈluː.ʃən.er.i]
fragment,fragment [ˈfræɡ.mənt]
geologický,geological [ˌdʒi.əˈlɑː.dʒɪ.kəl]
globálně,globally [ˈɡloʊ.bəl.i]
guru,guru [ˈɡʊr.uː]
Hatch,hatch [hætʃ]
hormon,hormone [ˈhɔːr.moʊn]
nedostatečné,inadequate [ɪˈnæd.ə.kwət]
nekonečno,infinity [ɪnˈfɪn.ə.t̬i]
záměrně,intentionally [ɪnˈten.ʃən.əl.i]
krajka,lace [leɪs]
dívčí,maiden [ˈmeɪ.dən]
membrána,membrane [ˈmem.breɪn]
kovový,metallic [məˈtæl.ɪk]
metodologie,methodology [ˌmeθ.əˈdɑː.lə.dʒi]
úprava,modification [ˌmɑː.də.fəˈkeɪ.ʃən]
vrah,murderer [ˈmɝː.dɚ.ɚ]
zdřímnutí,nap [næp]
nikl,nickel [ˈnɪk.əl]
neteř,niece [niːs]
přehlédnout,overlook [ˌoʊ.vɚˈlʊk]
Pardon,pardon [ˈpɑːr.dən]
přesvědčit,persuade [pɚˈsweɪd]
molo,pier [pɪr]
předchůdce,predecessor [ˈpred.ə.ses.ɚ]
Kvíz,quiz [kwɪz]
srážky,rainfall [ˈreɪn.fɑːl]
bezohledný,reckless [ˈrek.ləs]
vykoupení,redemption [rɪˈdemp.ʃən]
opakování,replay [ˌriːˈpleɪ]
revize,revision [rɪˈvɪʒ.ən]
vůně,scent [sent]
břidlice,slate [sleɪt]
podnět,stimulus [ˈstɪm.jə.ləs]
východ slunce,sunrise [ˈsʌn.raɪz]
nárůst,surge [sɝːdʒ]
Tee,tee [tiː]
žeton,token [ˈtoʊ.kən]
tornádo,tornado [tɔːrˈneɪ.doʊ]
soumrak,twilight [ˈtwaɪ.laɪt]
bezprecedentní,unprecedented [ʌnˈpres.ə.den.t̬ɪd]
Vagina,vagina [vəˈdʒaɪ.nə]
slovník,vocabulary [voʊˈkæb.jə.ler.i]
Wellington,wellington [ˈwel.ɪŋ.tən]
ochota,willingness [ˈwɪl.ɪŋ.nəs]
dřevnatý,woody [ˈwʊd.i]
bezcenný,worthless [ˈwɝːθ.ləs]
alt,alt [ɑːlt]
alternativně,alternatively [ɑːlˈtɝː.nə.t̬ɪv.li]
lukostřelec,archer [ˈɑːr.tʃɚ]
ujištění,assurance [əˈʃʊr.əns]
holič,barber [ˈbɑːr.bɚ]
Bash,bash [bæʃ]
prapor,battalion [bəˈtæl.i.ən]
bojkot,boycott [ˈbɔɪ·kɑt]
tesař,carpenter [ˈkɑːr.pɪn.t̬ɚ]
kuchyně,cuisine [kwɪˈziːn]
zadržet,detain [dɪˈteɪn]
osud,doom [duːm]
dabovat,dub [dʌb]
zatmění,eclipse [ɪˈklɪps]
osmnáct,eighteen [ˌeɪˈtiːn]
požitek,enjoyment [ɪnˈdʒɔɪ.mənt]
dopředu,forwards [ˈfɔːr.wɚdz]
gal,gal [ɡæl]
záblesk,glimpse [ɡlɪmps]
domácí,homemade [ˌhoʊmˈmeɪd]
ctihodný,honorable [ˈɑː.nɚ.ə.bəl]
infekční,infectious [ɪnˈfek.ʃəs]
nižší,inferior [ɪnˈfɪr.i.ɚ]
bezpráví,injustice [ɪnˈdʒʌs.tɪs]
inzulín,insulin [ˈɪn.sə.lɪn]
roznítit,kindle [ˈkɪn.dəl]
víčko,lid [lɪd]
panství,manor [ˈmæn.ɚ]
mistrovské dílo,masterpiece [ˈmæs.tɚ.piːs]
melodie,melody [ˈmel.ə.di]
Memo,memo [ˈmem.oʊ]
vypravěč,narrator [ˈner.eɪ.t̬ɚ]
obezita,obesity [oʊˈbiː.sə.t̬i]
partyzán,partisan [ˈpɑːr.t̬ə.zən]
výsadba,planting [ˈplæn.t̬ɪŋ]
poník,pony [ˈpoʊ.ni]
protestant,protestant [ˈprɑː.t̬ɪ.stənt]
důvěra,reliance [rɪˈlaɪ.əns]
neochotný,reluctant [rɪˈlʌk.tənt]
respirační,respiratory [ˈres.pə.rə.tɔːr.i]
udržení,retention [rɪˈten.ʃən]
stuha,ribbon [ˈrɪb.ən]
spolubydlící,roommate [ˈruːm.meɪt]
shnilý,rotten [ˈrɑː.tən]
Shah,shah [ʃɑː]
brokovnice,shotgun [ˈʃɑːt.ɡʌn]
pohovka,sofa [ˈsoʊ.fə]
zkazit,spoil [spɔɪl]
ponorka,submarine [ˌsʌb.məˈriːn]
zmírnit,temper [ˈtem.pɚ]
podstoupit,undergo [ˌʌn.dɚˈɡoʊ]
zarovnat,align [əˈlaɪn]
oltář,altar [ˈɑːl.tɚ]
atlas,atlas [ˈæt.ləs]
hrůza,awe [ɑː]
kavalerie,cavalry [ˈkæv.əl.ri]
rakev,coffin [ˈkɑː.fɪn]
barvitý,colorful [ˈkʌl.ɚ.fəl]
komunismus,communism [ˈkɑː.mjə.nɪ.zəm]
dirigent,conductor [kənˈdʌk.tɚ]
vrána,crow [kroʊ]
rozhodující,decisive [dɪˈsaɪ.sɪv]
dekorativní,decorative [ˈdek.ər.ə.t̬ɪv]
definitivní,definitive [dɪˈfɪn.ə.t̬ɪv]
přemístit,displace [dɪˈspleɪs]
epidemický,epidemic [ˌep.əˈdem.ɪk]
věčnost,eternity [ɪˈtɝː.nə.t̬i]
explodovat,explode [ɪkˈsploʊd]
extrakce,extraction [ɪkˈstræk.ʃən]
mastný,fatty [ˈfæt̬.i]
špinavý,filthy [ˈfɪl.θi]
spláchnutí,flush [flʌʃ]
písmo,font [fɑːnt]
lepidlo,glue [ɡluː]
dědeček,grandpa [ˈɡræn.pɑː]
chlupatý,hairy [ˈher.i]
vražda,homicide [ˈhɑː.mə.saɪd]
tj,ie [ˌaɪˈiː]
dědictví,inheritance [ɪnˈher.ɪ.təns]
zavazadla,luggage [ˈlʌɡ.ɪdʒ]
mikrovlnná trouba,microwave [ˈmaɪ.kroʊ.weɪv]
minimalizovat,minimize [ˈmɪn.ə.maɪz]
Maroko,morocco [məˈrɑː.koʊ]
vzniknout,originate [əˈrɪdʒ.ən.eɪt]
unce,ounce [aʊns]
kůra,peel [piːl]
piknik,picnic [ˈpɪk.nɪk]
praktik,practitioner [prækˈtɪʃ.ən.ɚ]
převážně,predominantly [prɪˈdɑː.mə.nənt.li]
primitivní,primitive [ˈprɪm.ə.t̬ɪv]
prozřetelnost,providence [ˈprɑː.və.dəns]
duševní,psychic [ˈsaɪ.kɪk]
psycholog,psychologist [saɪˈkɑː.lə.dʒɪst]
loutka,puppet [ˈpʌp.ɪt]
žebro,rib [rɪb]
spravedlivý,righteous [ˈraɪ.tʃəs]
soupeření,rivalry [ˈraɪ.vəl.ri]
Royalty,royalty [ˈrɔɪ.əl.t̬i]
klobása,sausage [ˈsɑː.sɪdʒ]
kostra,skeleton [ˈskel.ə.t̬ən]
pikantní,spicy [ˈspaɪ.si]
lepkavý,sticky [ˈstɪk.i]
bodnutí,sting [stɪŋ]
dostatečně,sufficiently [səˈfɪʃ.ənt.li]
Naštěstí,thankfully [ˈθæŋk.fəl.i]
klíště,tick [tɪk]
konzultace,tutorial [tuːˈtɔːr.i.əl]
dvacetina,twentieth [ˈtwen.t̬i.əθ]
nepříjemný,unpleasant [ʌnˈplez.ənt]
nesouvisející,unrelated [ˌʌn.rɪˈleɪ.t̬ɪd]
volný,vacant [ˈveɪ.kənt]
větrací otvor,vent [vent]
okolí,vicinity [vəˈsɪn.ə.t̬i]
Wan,wan [wɑːn]
bloudit,wander [ˈwɑːn.dɚ]
šatník,wardrobe [ˈwɔːr.droʊb]
teplo,warmth [wɔːrmθ]
analyzovat,analyse [ˈæn.əl.aɪz]
sekera,axe [æks]
kráska,belle [bel]
bulletin,bulletin [ˈbʊl.ə.t̬ɪn]
kapitalista,capitalist [ˈkæp.ə.t̬əl.ɪst]
opatrný,cautious [ˈkɑː.ʃəs]
konstábl,constable [ˈkɑːn.stə.bəl]
poradce,counselor [ˈkaʊn.səl.ɚ]
obrubník,curb [kɝːb]
listina,deed [diːd]
odpojit,detach [dɪˈtætʃ]
efektivně,efficiently [ɪˈfɪʃ.ənt.li]
povzbuzení,encouragement [ɪnˈkɝː.ɪdʒ.mənt]
frakce,faction [ˈfæk.ʃən]
fašistický,fascist [ˈfæʃ.ɪst]
peří,feather [ˈfeð.ɚ]
příslušenství,fixture [ˈfɪks.tʃɚ]
hazardovat,gamble [ˈɡæm.bəl]
brankář,goalkeeper [ˈɡoʊlˌkiː.pɚ]
vnouče,grandchild [ˈɡræn.tʃaɪld]
neškodný,harmless [ˈhɑːrm.ləs]
sluch,hearing [ˈhɪr.ɪŋ]
váhat,hesitate [ˈhez.ə.teɪt]
nadějný,hopeful [ˈhoʊp.fəl]
nadržený,horny [ˈhɔːr.ni]
hygiena,hygiene [ˈhaɪ.dʒiːn]
Island,iceland [ˈaɪs.lənd]
nekonzistentní,inconsistent [ˌɪn.kənˈsɪs.tənt]
mateřská škola,kindergarten [ˈkɪn.dɚˌɡɑːr.tən]
hlasitě,loudly [ˈlaʊd.li]
zanedbání,neglect [nɪˈɡlekt]
severozápadní,northwestern [ˌnɔːrθˈwes.t̬ɚn]
pachatel,offender [əˈfen.dɚ]
útlak,oppression [əˈpreʃ.ən]
vlastenecký,patriotic [ˌpeɪ.triˈɑː.t̬ɪk]
džbán,pitcher [ˈpɪtʃ.ɚ]
dětské hřiště,playground [ˈpleɪ.ɡraʊnd]
osídlit,populate [ˈpɑː.pjə.leɪt]
předsudek,prejudice [ˈpredʒ.ə.dɪs]
pravděpodobný,probable [ˈprɑː.bə.bəl]
Probace,probation [proʊˈbeɪ.ʃən]
Projekce,projection [prəˈdʒek.ʃən]
havran,raven [ˈreɪ.vən]
receptor,receptor [-tɚ]
předělat,remake [ˌriːˈmeɪk]
reprodukce,reproduction [ˌriː.prəˈdʌk.ʃən]
krevety,shrimp [ʃrɪmp]
podobnost,similarity [ˌsɪm.əˈler.ə.t̬i]
mluvčí,spokesman [ˈspoʊks.mən]
skvrna,stain [steɪn]
stánek,stall [stɑːl]
vyhladovět,starve [stɑːrv]
popruh,strap [stræp]
subjektivní,subjective [səbˈdʒek.tɪv]
traumatický,traumatic [trɑːˈmæt̬.ɪ.kəl.i]
bilion,trillion [ˈtrɪl.jən]
Tucker,tucker [ˈtʌk.ɚ]
prodejce,vendor [ˈven.dɚ]
domorodý,aboriginal [ˌæb.əˈrɪdʒ.ən.əl]
zarovnání,alignment [əˈlaɪn.mənt]
alergický,allergic [əˈlɝː.dʒɪk]
pozměnit,amend [əˈmend]
zařízení,apparatus [ˌæp.əˈræt̬.əs]
mstitel,avenger [əˈven.dʒɚ]
balkón,balcony [ˈbæl.kə.ni]
bankéř,banker [ˈbæŋ.kɚ]
blaho,bliss [blɪs]
tělesné,bodily [ˈbɑː.dəl.i]
vyrovnávací paměť,buffer [ˈbʌf.ɚ]
kotleta,chop [tʃɑːp]
spolupráce,collaborative [kəˈlæb.ɚ.ə.t̬ɪv]
zahájit,commence [kəˈmens]
kompenzovat,compensate [ˈkɑːm.pən.seɪt]
konstruktivní,constructive [kənˈstrʌk.t̬ɪv]
vesmírný,cosmic [ˈkɑːz.mɪk]
odjezd,depart [dɪˈpɑːrt]
vývojový,developmental [dɪˌvel.əpˈmen.t̬əl]
rozptýlení,distraction [dɪˈstræk.ʃən]
Dom,dom [ˌnɑːnˈdɑːm]
výstavce,drawer [drɔːr]
ekologický,ecological [ˌiː.kəˈlɑː.dʒɪ.kəl]
Ekosystém,ecosystem [ˈiː.koʊˌsɪs.təm]
osvobození,exempt [ɪɡˈzempt]
slabý,faint [feɪnt]
plodnost,fertility [fɚˈtɪl.ə.t̬i]
pěna,foam [foʊm]
Především,foremost [ˈfɔːr.moʊst]
kovárna,forge [fɔːrdʒ]
skleník,greenhouse [ˈɡriːn.haʊs]
hierarchie,hierarchy [ˈhaɪ.rɑːr.ki]
neplatný,invalid [ɪnˈvæl.ɪd]
nefrit,jade [dʒeɪd]
společně,jointly [ˈdʒɔɪnt.li]
lehký,lightweight [ˈlaɪt.weɪt]
metabolismus,metabolism [məˈtæb.əl.ɪ.zəm]
zářez,notch [nɑːtʃ]
Omega,omega [oʊˈmeɪ.ɡə]
Packer,packer [ˈpæk.ɚ]
Rodiče,parental [pəˈren.təl]
parodie,parody [ˈper.ə.di]
čestné slovo,parole [pəˈroʊl]
tučňák,penguin [ˈpeŋ.ɡwɪn]
přízrak,phantom [ˈfæn.t̬əm]
precedens,precedent [ˈpres.ə.dent]
převládající,prevalent [ˈprev.əl.ənt]
krajta,python [ˈpaɪ.θɑːn]
sporný,questionable [ˈkwes.tʃə.nə.bəl]
fronta,queue [kjuː]
odpůrce,respondent [rɪˈspɑːn.dənt]
námořník,sailor [ˈseɪ.lɚ]
sedmdesát,seventy [ˈsev.ən.t̬i]
sociologie,sociology [ˌsoʊ.siˈɑː.lə.dʒi]
supermarket,supermarket [ˈsuː.pɚˌmɑːr.kɪt]
svetr,sweater [ˈswet̬.ɚ]
trakce,traction [ˈtræk.ʃən]
traktor,tractor [ˈtræk.tɚ]
pstruh,trout [traʊt]
obrat,turnover [ˈtɝːnˌoʊ.vɚ]
nechtěné,unwanted [ʌnˈwɑːn.t̬ɪd]
miláček,valentine [ˈvæl.ən.taɪn]
varianta,variant [ˈver.i.ənt]
vegetariánský,vegetarian [ˌvedʒ.əˈter.i.ən]
viditelnost,visibility [ˌvɪz.əˈbɪl.ə.t̬i]
kde,wherein [werˈɪn]
whisky,whiskey [ˈwɪs.ki]
algebra,algebra [ˈæl.dʒə.brə]
analytický,analytic [ˌæn.əˈlɪt̬.ɪk]
anténa,antenna [ænˈten.iː]
konkurs,audition [ɑːˈdɪʃ.ən]
Bravo,bravo [ˈbrɑː.voʊ]
srovnávací,comparative [kəmˈper.ə.t̬ɪv]
doplněk,complement [ˈkɑːm.plə.ment]
dobýt,conquer [ˈkɑːŋ.kɚ]
dobytí,conquest [ˈkɑːŋ.kwest]
kontinuita,continuity [ˌkɑːn.tənˈuː.ə.t̬i]
plazit se,crawl [krɑːl]
důvěryhodný,credible [ˈkred.ə.bəl]
přeběhnout,defect [ˈdiː.fekt]
nádherné,delightful [dɪˈlaɪt.fəl]
zobrazovat,depict [dɪˈpɪkt]
číslice,digit [ˈdɪdʒ.ɪt]
dinosaurus,dinosaur [ˈdaɪ.nə.sɔːr]
drenáž,drainage [ˈdreɪ.nɪdʒ]
utopit,drown [draʊn]
rozpaky,embarrassment [ɪmˈber.əs.mənt]
explodoval,exploded [ɪkˈsploʊd]
spravedlnost,fairness [ˈfer.nəs]
zločin,felony [ˈfel.ə.ni]
pazourek,flint [flɪnt]
květinový,floral [ˈflɔːr.əl]
pevnost,fortress [ˈfɔːr.trəs]
v zásadě,fundamentally [ˌfʌn.dəˈmen.t̬əl.i]
Hearted,hearted [-hɑːr.t̬ɪd]
bylina,herb [ɝːb]
stádo,herd [hɝːd]
ideologický,ideological [ˌaɪ.di.əˈlɑː.dʒɪ.kəl]
nesmrtelný,immortal [ɪˈmɔːr.t̬əl]
Stávající,incumbent [ɪnˈkʌm.bənt]
zasvěcenec,insider [ɪnˈsaɪ.dɚ]
nedostatečné,insufficient [ˌɪn.səˈfɪʃ.ənt]
interval,interval [ˈɪn.t̬ɚ.vəl]
želé,jelly [ˈdʒel.i]
lízat,lick [lɪk]
doslovný,literal [ˈlɪt̬.ɚ.əl]
měsíční,lunar [ˈluː.nɚ]
mateřský,maternal [məˈtɝː.nəl]
Memoir,memoir [ˈmem.wɑːr]
námitka,objection [əbˈdʒek.ʃən]
zavázat,oblige [əˈblaɪdʒ]
výskyt,occurrence [əˈkɝː.əns]
potomstvo,offspring [ˈɑːf.sprɪŋ]
pobuřující,outrageous [ˌaʊtˈreɪ.dʒəs]
paket,packet [ˈpæk.ɪt]
cesta,pathway [ˈpæθ.weɪ]
moderátor,presenter [prɪˈzen.t̬ɚ]
vyhlásit,proclaim [proʊˈkleɪm]
zákaz,prohibition [ˌproʊ.ɪˈbɪʃ.ən]
podpěra,prop [prɑːp]
registr,registry [ˈredʒ.ə.stri]
pozoruhodně,remarkably [rɪˈmɑːr.kə.bli]
střídat,rotate [ˈroʊ.teɪt]
jizva,scar [skɑːr]
bible,scripture [ˈskrɪp.tʃɚ]
seminář,seminar [ˈsem.ə.nɑːr]
jednoduchost,simplicity [sɪmˈplɪs.ə.t̬i]
měkce,softly [ˈsɑːft.li]
stereo,stereo [ˈster.i.oʊ]
symfonie,symphony [ˈsɪm.fə.ni]
učebnice,textbook [ˈtekst.bʊk]
teologický,theological [ˌθiː.əˈlɑː.dʒɪ.kəl]
tajný,undercover [ˌʌn.dɚˈkʌv.ɚ]
vegetace,vegetation [ˌvedʒ.əˈteɪ.ʃən]
žíla,vein [veɪn]
samet,velvet [ˈvel.vɪt]
účetní,accountant [əˈkaʊn.t̬ənt]
zábavný,amusing [əˈmjuː.zɪŋ]
spatřit,behold [bɪˈhoʊld]
zradit,betray [bɪˈtreɪ]
miliardář,billionaire [ˌbɪl.jəˈner]
vařit,brew [bruː]
bypass,bypass [ˈbaɪ.pæs]
zrušení,cancellation [ˌkæn.səlˈeɪ.ʃən]
třtina,cane [keɪn]
katalyzátor,catalyst [ˈkæt̬.əl.ɪst]
cedr,cedar [ˈsiː.dɚ]
mrtvola,corpse [kɔːrps]
krab,crab [kræb]
krutost,cruelty [ˈkruː.əl.ti]
demence,dementia [dɪˈmen.ʃə]
označení,designation [ˌdez.ɪɡˈneɪ.ʃən]
kostky,dice [daɪs]
diplom,diploma [dɪˈploʊ.mə]
odeslat,dispatch [dɪˈspætʃ]
vévodkyně,duchess [ˈdʌtʃ.es]
zánik,extinction [ɪkˈstɪŋk.ʃən]
fólie,foil [fɔɪl]
geologie,geology [dʒiˈɑː.lə.dʒi]
gram,gram [ɡræm]
vřesoviště,heath [hiːθ]
nebeský,heavenly [ˈhev.ən.li]
strašný,horrific [həˈrɪf.ɪk]
Neurální,neural [ˈnʊr.əl]
bulletin,newsletter [ˈnuːzˌlet̬.ɚ]
devatenáctý,nineteenth [ˌnaɪnˈtiːnθ]
dusík,nitrogen [ˈnaɪ.trə.dʒən]
mzdy,payroll [ˈpeɪ.roʊl]
fenomenální,phenomenal [fəˈnɑː.mə.nəl]
fotografický,photographic [ˌfoʊ.t̬əˈɡræf.ɪk]
špetka,pinch [pɪntʃ]
ping,ping [pɪŋ]
předvídatelný,predictable [prɪˈdɪk.tə.bəl]
profesionálně,professionally [prəˈfeʃ.ən.əl.i]
queer,queer [kwɪr]
odskočit,rebound [ˌriːˈbaʊnd]
počítat,reckon [ˈrek.ən]
vzkříšení,resurrection [ˌrez.əˈrek.ʃən]
Rover,rover [ˈroʊ.vɚ]
Zásilka,shipment [ˈʃɪp.mənt]
coura,slut [slʌt]
prostorový,spatial [ˈspeɪ.ʃəl]
nerez,stainless [ˈsteɪn.ləs]
statutární,statutory [ˈstætʃ.ə.tɔːr.i]
hvězdný,stellar [ˈstel.ɚ]
proužek,stripe [straɪp]
tvrdohlavý,stubborn [ˈstʌb.ɚn]
přivolat,summon [ˈsʌm.ən]
sirup,syrup [ˈsɪr.əp]
těsně,tightly [ˈtaɪt.li]
transplantace,transplant [trænˈsplænt]
Tu,tu [tʊˌwɪt tʊˈwuː]
rašelina,turf [tɝːf]
škubnutí,twitch [twɪtʃ]
odemčený,unlocked [ʌnˈlɑːk]
neobvykle,unusually [ʌnˈjuː.ʒu.ə.li]
odhalit,unveil [ʌnˈveɪl]
sopka,volcano [vɑːlˈkeɪ.noʊ]
svatba,wedding [ˈwed.ɪŋ]
urychlit,accelerate [ekˈsel.ɚ.eɪt]
dosažení,accomplishment [əˈkɑːm.plɪʃ.mənt]
inzerovat,advertise [ˈæd.vɚ.taɪz]
archa,ark [ɑːrk]
atom,atom [ˈæt̬.əm]
čekat,await [əˈweɪt]
vařící,boiling [ˈbɔɪ.lɪŋ]
půjčování,borrowing [ˈbɑːr.oʊ.ɪŋ]
zadek,bum [bʌm]
řezník,butcher [ˈbʊtʃ.ɚ]
početí,conception [kənˈsep.ʃən]
protějšek,counterpart [ˈkaʊn.t̬ɚ.pɑːrt]
tágo,cue [kjuː]
disciplinární,disciplinary [ˈdɪs.ə.plɪ.ner.i]
trpaslík,dwarf [dwɔːrf]
enact,enact [ɪˈnækt]
schválení,endorsement [ɪnˈdɔːrs.mənt]
získat,enlist [ɪnˈlɪst]
obočí,eyebrow [ˈaɪ.braʊ]
